Class Name,Instructor,Price,Start Date,End Date,Start Time,End Time,Class Type,Description,Categories,Location,Room,Max Seats,Min Seats,Length in Weeks,Days of Week,Image URL,Featured,Kids Class,Register Online,Continuous Enrollment,Canceled,Receipt Custom Text,Reminder Custom Text,Visibility,Registrants,Waiting List
Acorns: Agriculture Agents 7/31-8/4,Acorns Instructor Team,$200.00 ,07/31/2023,08/04/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 8: Jul 31-Aug 4</strong></p>
<p><strong>Ages: 5-7</strong></p>
<p>Future Farmers of Allerton is recruiting, and we want YOU!&nbsp; Campers will learn about the history of farming at Allerton and get a taste of life on the farm.</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/2839d93b7bff11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,17,0
Acorns: Allerton Artists 6/12-6/16,Acorns Instructor Team,$200.00 ,06/12/2023,06/16/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 2: June 12-16</strong></p>
<p><strong>Ages 5-7&nbsp;</strong></p>
<p>Calling all artists!&nbsp; Do you paint? Draw? Sculpt?&nbsp; Allerton is looking for talented artists to create new art that will draw visitors to the park.&nbsp;</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,5,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/9c95dda2772011edb7061241d5af69bf,No,Yes,Yes,No,No,,,Public,20,11
Acorns: Fort Fiends 6/26-6/30,Acorns Instructor Team,$200.00 ,06/26/2023,06/30/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 4: June 26-30</strong></p>
<p><strong>Ages: 5-7</strong></p>
<p>Camp is all about building &ndash; friendships, connections, and FORTS!&nbsp; Using materials found here at the park, campers will work together to create and perfect the finest forts the park has ever seen.</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/e7cfd7e27bfc11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,21,13
Acorns: Pollinator People 6/19-6/23,Acorns Instructor Team,$200.00 ,06/19/2023,06/23/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 3: June 19-23</strong></p>
<p><strong>Ages 5-7</strong></p>
<p>Discover the pollinators big and small that call Allerton Park their home.&nbsp; Campers will roam the gardens looking for our pollinating pals and pick up some tips for how to create pollinator habitats at home.</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/c8416cfa77f711ed9ba812b5fa5aaebb,Yes,Yes,Yes,No,No,,,Public,16,0
Acorns: Science Scouts 7/17-7/21,Acorns Instructor Team,$200.00 ,07/17/2023,07/21/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 6: July 17-21</strong></p>
<p><strong>Ages: 5-7</strong></p>
<p>Have you ever wanted to be Bill Nye the Science Guy?&nbsp; This is your chance!&nbsp; Allerton Park is home to all kinds of biology and chemistry.&nbsp; Let&rsquo;s investigate the world of science right here in our own backyards.</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/dff3591f7bfd11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,20,0
Acorns: Sound Songsters 7/10-7/14,Acorns Instructor Team,$200.00 ,07/10/2023,07/14/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 5: July 10-14</strong></p>
<p><strong>Ages: 5-7</strong></p>
<p>Scout out sound and sound-makers in this noisy affair.&nbsp; Using the park as our venue, campers will make music and maybe do some dancing too!</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/4d9da14b7bfd11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,18,0
Acorns: Water Workers 7/24-7/28,Acorns Instructor Team,$200.00 ,07/24/2023,07/28/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 7: July 24-28</strong></p>
<p><strong>Ages: 5-7</strong></p>
<p>Allerton is home to lots of water: the Sangamon River, Reflecting Pond, Goldfish Pond, Koi pool, and many creeks.&nbsp; Wade through all the WET and wild fun we can whip up at summer camp!</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,21,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/5e84a7a47bfe11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,18,2
Acorns: Weather Wizards 6/5-6/9,Acorns Instructor Team,$200.00 ,06/05/2023,06/09/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 1: June 5-9</strong></p>
<p><strong>Ages 5-7</strong></p>
<p>Rain clouds, sunshine, snowstorms&hellip;. oh my!&nbsp; Exploring the world of weather will give campers insight into how weather shapes our lives.</p>",Allerton Summer Day Camp > Acorns 5-7yrs,Greenhouse,Auditorium,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/875bb3ed7bf911eda3040a362a971653,No,Yes,Yes,No,No,,,Public,20,3
Adventurers: Agriculture Agents 7/31-8/4,Adventurers Instructor Team,$200.00 ,07/31/2023,08/04/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 8: Jul 31-Aug 4</strong></p>
<p><strong>Ages: 8-12</strong></p>
<p>Future Farmers of Allerton is recruiting, and we want YOU!&nbsp; Campers will learn about the history of farming at Allerton and get a taste of life on the farm.</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/66c431a27bff11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,18,1
Adventurers: Allerton Artists 6/12-6/16,Adventurers Instructor Team,$200.00 ,06/12/2023,06/16/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 2: June 12-16</strong></p>
<p><strong>Ages 8-12</strong></p>
<p>Calling all artists!&nbsp; Do you paint? Draw? Sculpt?&nbsp; Allerton is looking for talented artists to create new art that will draw visitors to the park.&nbsp;</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/4afa80567bfc11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,20,23
