total_bin,n,pct
Free/Refund/0,824,0.11671388101983003
$1–$25,1280,0.1813031161473088
$26–$50,973,0.1378186968838527
$51–$75,1515,0.21458923512747877
$76–$100,765,0.10835694050991501
$101–$150,247,0.03498583569405099
$151–$200,406,0.0575070821529745
$201–$300,928,0.13144475920679888
$301–$500,122,0.017280453257790367
