spend_tier,n,pct
$0,466,0.13613789073911772
$1–$50,1033,0.30178206251825884
$51–$100,833,0.24335378323108384
$101–$200,469,0.13701431492842536
$201–$500,414,0.12094653812445223
"$501–$1,000",121,0.03534910896874087
"$1,000+",87,0.025416301489921123
