med_total_bin,n,pct
Free/Refund/0,398,0.11627227578147824
$1–$25,758,0.22144317849839323
$26–$50,557,0.16272275781478235
$51–$75,806,0.23546596552731522
$76–$100,369,0.10780017528483786
$101–$150,93,0.02716914986853637
$151–$200,140,0.0408997955010225
$201–$300,223,0.06514753140520012
$301–$500,79,0.023079170318434122
