city_state,students,distance_miles,distance_note
"Lockport, IL",1,111.4,matched
"Wataga, IL",1,113.2,matched
"Troy, IL",2,113.9,matched
"Deland, IL",4,115.7,matched
"Orland Park, IL",2,117.1,matched
"Lemont, IL",1,117.7,matched
"Bolingbrook, IL",1,118.6,matched
"Midlothian, IL",3,119.3,matched
"Griffith, IN",1,120.3,matched
"Aurora, IL",1,120.4,matched
"Collinsville, IL",2,120.5,matched
"Woodridge, IL",2,122.7,matched
"Naperville, IL",4,122.8,matched
"Washington, IL",6,123.5,matched
"Lisle, IL",5,125.4,matched
"Downers Grove, IL",1,125.7,matched
"Gary, IN",1,126.7,matched
"Batavia, IL",1,126.8,matched
"Windsor, IL",1,127.4,matched
"Geneseo, IL",1,128.8,matched
"Dekalb, IL",1,129.3,matched
"Indianapolis, IN",2,129.4,matched
"Portage, IN",1,129.7,matched
"Saint Louis, MO",5,129.9,matched
"Freeburg, IL",1,131.9,matched
"County Farm Road, IL",1,132.9,matched
"Prophetstown, IL",1,134.2,matched
"Rock Falls, IL",1,134.7,matched
"Oak Park, IL",2,135,matched
"Chicago, IL",27,137.1,matched
"Elgin, IL",1,139.9,matched
"Dardenne Prairie, MO",2,144.4,matched
"Skokie, IL",1,144.7,matched
"Bettendorf, IA",1,145,matched
"Morton Grove, IL",3,145.2,matched
"Maynard Drive, IL",1,145.8,matched
"Palatine, IL",1,146.7,matched
"Glenview, IL",2,146.8,matched
"Evanston, IL",2,147.2,matched
"Highwood, IL",1,155.5,matched
"Gurnee, IL",3,165.8,matched
"Morganfield, KY",1,166,matched
"Roscoe, IL",1,166.6,matched
"Leroy, IL",9,168.2,matched
"Rockton, IL",1,169.7,matched
"My. Zion, IL",2,171.3,matched
"Pleasant Prairie, WI",1,176.9,matched
"Milwaukee, WI",1,211.1,matched
"Lake Mills, WI",2,211.9,matched
"Bevier, MO",1,212.7,matched
"Monona, WI",1,213.6,matched
"Nicholasville, KY",2,261.4,matched
"Franklin, TN",2,298.6,matched
"Smyrna, TN",1,301.3,matched
"Somers, IA",1,345.4,matched
"Lawrence, KS",1,362.9,matched
"Hovland, MN",2,544.8,matched
"Monticello, AL",1,588.5,matched
"College Park, MD",1,624.8,matched
"Troup, TX",1,656.3,matched
"Dallas, TX",2,678.5,matched
"Savannah, GA",1,690.3,matched
"Savanah, GA",1,691.7,matched
"Montclair, NJ",1,756.9,matched
"Trumbull, CT",1,810.2,matched
"Orlando, FL",2,893.8,matched
"Miramar, FL",1,1083.7,matched
"Great Falls, MT",1,1241.1,matched
"Running Springs, CA",1,1617,matched
"Tacoma, WA",2,1751.8,matched
"Anacortes, WA",1,1768,matched
"Olympia, WA",2,1772.4,matched
"Da, IL",5,NA,unknown
"Apt 1, IL",1,NA,unknown
"God, IL",2,NA,unknown
"Xx, IL",6,NA,unknown
"Saint Joseph, IL",36,35,corrected
"Unit #1102, IL",1,NA,unknown
"Mt Zion, IL",19,35,corrected
"Mt. Zion, IL",1,35,corrected
"Champagin, IL",2,NA,unknown
"Minticello, IL",2,NA,unknown
"Virden, Illinois Mid, IL",2,NA,unknown
"White Heatg, IL",2,NA,unknown
"1920 S Harding Drive, IL",1,NA,unknown
"70 W Woodlasaint Joseph, IL",1,NA,unknown
"Arensville, IL",1,NA,unknown
"Blomington, IL",1,NA,unknown
"Champiagn, IL",1,NA,unknown
"Chanpaign, IL",1,NA,unknown
"Fairy Tale Land, IL",1,NA,unknown
"Livington, IL",1,NA,unknown
"Mattoo, IL",1,NA,unknown
