respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
219228_0011,219228,A,Beginning Embroidery,NA,5,Very satisfied,NA,2,3,5,NA,a 2 hour class period would be great,"Continue making sure classes are affordable for community members, not just those associated with the University",NA,NA,NA,White,No,Woman,18-34,Urbana
219228_0012,219228,A,Basket Weaving,2023-09-30,5,Very satisfied,NA,3,3,5,NA,The building the class was in was not a good choice for this class. It was hot and the lighting was poor.,NA,NA,NA,NA,White,No,Woman,35-64,Thomasboro
219228_0013,219228,A,Basket Weaving,2023-09-30,5,Very satisfied,NA,3,2,5,NA,"The setting was less than ideal; we needed stronger lighting to properly see our work. Additionally, the instructor, while patient with us, presented her information at a higher level than for beginners. That being said, we did create beautiful baskets and learned a lot about a whole new area of craft.","Different location than the music barn, or fix up the space with better lighting and cleaner restrooms.",NA,NA,NA,White,No,Woman,35-64,Urbana
219228_0014,219228,A,Basket Weaving,2023-09-30,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,NA,NA,White,No,Woman,35-64,Piatt
219228_0015,219228,A,Basket Weaving,2023-09-30,4,Somewhat satisfied,NA,3,1,4,I think I learned what I wanted to know.,"this course needs to be taught in a place that has much better lighting. It was very difficult to do small detail work in a dark place. This basket was too difficult for beginners. RAther than having fun, we had to work non-stop to complete the project. We all left very tired with aching backs. Although instructor was very knowledable and gave individual attention to paraticipants she did not do a good job of identifying the materials and tools we were working with. She threw out a lot of terms that most of us had no idea what she was talking about. Recognize that most people who take courses like this are older and need more time and explanation.",Have water or coffee available. Be sure you have adequate light- the music barn is very dark and hot. Be sure the projects that are advertised for beginners are actually for beginners.,NA,NA,NA,White,No,Woman,65+,Champaign
219228_0016,219228,A,Beginning Embroidery,2023-09-13,4,Somewhat satisfied,NA,2,1,2,NA,"I think the course could have been better organized, and the instructor misgendered someone which wasn't pleasant. I don't know if it was intentional but she may need some training/education before teaching again at the Folk School.",NA,NA,NA,NA,White,No,Woman,35-64,Champaign
234953_0001,234953,A,Beginning Weaving I,NA,4,Somewhat satisfied,NA,3,3,3,NA,NA,NA,NA,Other,1,NA,NA,NA,18-34,NA
234953_0002,234953,A,Improve Your Improv,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,Prefer not to respond,Prefer not to respond,Prefer not to respond,Prefer not to respond,Bloomington
234953_0003,234953,A,Improve Your Improv,NA,5,Very satisfied,NA,3,3,5,NA,More practicing long form improv as stated above,NA,NA,Allerton's website,1,White,No,Man,35-64,NA
234953_0004,234953,A,Improve Your Improv,NA,5,Very satisfied,NA,3,3,5,NA,"Nope, it was perfect.",Nope,NA,From a friend,1,White,No,Man,35-64,Mahomet
