folk_school,n,avg_total,med_total
NA,5373,82.61651591289782,60
Art,1109,109.89089269612263,75
Wellness,230,38.130434782608695,35
Outdoor Education,184,37.44565217391305,20
Fiber Arts,113,126.10619469026548,80
Culinary,30,43,45
Storytelling,21,54.523809523809526,60
