variable,pct_missing
are_you_a_university_of_illinois_student_standard_form,83.6
additional_parent_guardian_names_standard_form,79.7
date_of_birth_standard_form,79.6
date_of_birth_dt,79.6
email,48.3
first_name,0
last_name,0
phone,0
address,0
city,0
state,0
zip,0
gender_standard_form,0
additional_phone_number_standard_form,0
race_ethnicity_standard_form,0
are_you_of_hispanic_latinx_or_spanish_origin_standard_form,0
last_registered_on,0
last_registered_on_dt,0
