folk_school,n,avg_fill,med_fill,avg_waitlist
Art,241,0.5409524135543173,0.5333333333333333,0.7053941908713693
Wellness,99,0.30968013468013467,0.1,0.35353535353535354
Outdoor Education,70,0.4521258503401361,0.4,0.2
Storytelling,38,0.5089912280701754,0.47916666666666663,1.1842105263157894
Fiber Arts,23,0.7416459627329193,0.7142857142857143,0.5217391304347826
Culinary,12,0.65,0.75,1
Science,1,0.275,0.275,0
